,mintemp,maxtemp,prcpann,temprang,rwsaetswbs,raetcwd,prcpsum,pdaetswb,pcseas,cumlswb,rwsaet,rswbaet,rpetaet,prcpwin,prcpspr,prcpfal,pdwsaetswb,mxtmpwin,mxtmpsum,mxtmpspr,mxtmpfal,mntmpwin,mntmpsu,mntmpspr,mntmpfal,cumlws,cumlpet,cumlcwd,cumlaet,monsoon
ind_44,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_45,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_46,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_47,-7.65704,27.7503,461.343,35.411,0.89063,0.933086,39.113,94.2268,0.559414,149.626,1.35635,0.656864,2.08526,171.626,168.777,81.8281,90.7125,3.97496,25.3374,9.85017,15.345,-7.39757,6.96432,-1.95614,-1.0838,310.498,475.004,475.004,246.907,0.069353379
ind_48,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_49,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_50,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_51,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_52,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_53,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
