"Latitude" "Longitude" "Elevation" "mintemp" "maxtemp" "prcpann" "temprang" "rwsaetswbs" "raetcwd" "prcpsum" "pdaetswb" "pcseas" "cumlswb" "rwsaet" "rswbaet" "rpetaet" "prcpwin" "prcpspr" "prcpfal" "pdwsaetswb" "mxtmpwin" "mxtmpsum" "mxtmpspr" "mxtmpfal" "mntmpwin" "mntmpsu" "mntmpspr" "mntmpfal" "cumlws" "cumlpet" "cumlcwd" "cumlaet"
"ind_28" 40.88507 -119.60353 1721 -6.89504 28.7475 376.191 35.5832 0.619412 0.748737 38.9616 78.1963 0.478302 167.313 1.13157 0.733209 2.33993 142.163 118.486 76.5807 22.5519 3.87037 26.4392 10.4268 15.779 -6.39394 9.16484 -1.00581 4.4646 257.092 534.185 534.185 305.797
"ind_29" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_30" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_31" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_32" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_33" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_34" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_35" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_36" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_37" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
